Date,000001.SS_target,^FTSE_target,^GDAXI_target,^GSPC_target,^HSI_target,^IXIC_target,^N225_target
2005-02-08,0.2612851226174228,0.0737829754203965,0.1034161575289074,0.1004971198178025,0.1077043053840316,0.1518228142816222,0.0951810107856031
2005-02-09,0.2610053862079431,0.0707189656435529,0.0950389294252215,0.0989336678018749,0.1073571928241063,0.1495894878863912,0.0927973313092396
2005-02-10,0.2609927799204336,0.0670713009271125,0.0894147897085817,0.1006364897251224,0.1068715848420542,0.1534206227512553,0.0888247771353448
2005-02-11,0.2609774456691636,0.0676475670284624,0.0896572276455969,0.0950468495317938,0.1135838884065439,0.1494046503040975,0.0856623389835576
2005-02-14,0.2590341540909991,0.0673966631368486,0.089267537572722,0.0938126579738058,0.1112009284809765,0.1470194922418642,0.0830364794523741
2005-02-15,0.2449634608208253,0.0673139945985473,0.0945483746526564,0.0937920761625954,0.1077977636961354,0.1470497606348669,0.0835480295811186
2005-02-16,0.2447456743898465,0.0632725560061272,0.0946207502470474,0.0932141018376131,0.1086445313980018,0.1495789714602816,0.0811700806091743
2005-02-17,0.2489362244993357,0.0626792952790904,0.0950485286128617,0.0866144740901898,0.1105934626527045,0.1404413593282725,0.0832459593573327
2005-02-18,0.2521771977533492,0.0594636573661606,0.0921599141981667,0.0813326639541644,0.1031360196730144,0.1325120845643436,0.0727435784304658
2005-02-21,0.2470836863357811,0.065019050519936,0.095953327014515,0.0940220950207444,0.1012962664632574,0.1396035510073983,0.0731875215898133
2005-02-22,0.2418053630881622,0.0749084497664866,0.0960038003616156,0.0942452148946311,0.1042142108277496,0.1323090596088372,0.0794915392214067
2005-02-23,0.2416178690546012,0.0747231064616124,0.0935834141286907,0.0965780437173304,0.0961682970714829,0.1351696943378564,0.0794112761980027
2005-02-24,0.237970498900263,0.0771966761088079,0.0967672212375373,0.0996815937261474,0.0977186142642332,0.1300114601436843,0.0822432678710439
2005-02-25,0.2331570494782169,0.083187748685598,0.0967809850272063,0.1031468040998562,0.0976455290089506,0.1321934698296825,0.0831631431746501
2005-02-28,0.2293812873013352,0.0828409816193579,0.0973068101468488,0.1033029574794519,0.1049416762746451,0.1342520753736155,0.0824753002459546
2005-03-01,0.2236149838183218,0.0829869424583761,0.0897703782441515,0.1004518661107809,0.1176570548968476,0.1272904193790324,0.0812904198364164
2005-03-02,0.2226832308581611,0.0764024453038757,0.0905726373107996,0.0983595109707389,0.1113041335574713,0.1277294078297177,0.0812373740189676
2005-03-03,0.1444428725446185,0.0771422260533741,0.0968747175907261,0.1025168290819914,0.1191381138351762,0.1289672648397809,0.0812494018584002
2005-03-04,0.1408746885514802,0.0772293753407304,0.0954177962207565,0.1017002238459308,0.1187052022373817,0.1292779110135254,0.0807752875272024
