Horizon,Loss,Model,Cells,Mean_Rank,Median_Loss_Ratio_vs_Persistence,MCS_Inclusions
5day,AbsoluteError,GARCHTransformer,7,13.285714285714286,2.2924002611139427,
22day,QLIKE,HistoricalVolatility,7,7.642857142857143,,6
22day,QLIKE,Persistence,7,7.642857142857143,,6
22day,QLIKE,GARCH,7,5.714285714285714,,5
22day,QLIKE,EGARCH,7,5.714285714285714,,3
22day,QLIKE,GJRGARCH,7,6.714285714285714,,4
22day,QLIKE,LinearRegression,7,11.142857142857142,,5
22day,QLIKE,RandomForest,7,8.428571428571429,,2
22day,QLIKE,XGBoost,7,10.142857142857142,,2
22day,QLIKE,LSTM,7,8.714285714285714,,4
22day,QLIKE,GRU,7,8.0,,5
22day,QLIKE,Transformer,7,5.571428571428571,,5
22day,QLIKE,GARCHLSTM,7,5.428571428571429,,5
22day,QLIKE,GARCHGRU,7,7.285714285714286,,5
22day,QLIKE,GARCHTransformer,7,6.857142857142857,,5
22day,SquaredError,HistoricalVolatility,7,10.214285714285714,1.0,7
22day,SquaredError,Persistence,7,10.214285714285714,1.0,7
22day,SquaredError,GARCH,7,6.285714285714286,0.6870309113927847,5
22day,SquaredError,EGARCH,7,4.857142857142857,0.8291215673437342,4
22day,SquaredError,GJRGARCH,7,7.142857142857143,0.7698835906344761,4
22day,SquaredError,LinearRegression,7,7.571428571428571,0.8568936428989564,7
22day,SquaredError,RandomForest,7,10.0,1.025324745804348,2
22day,SquaredError,XGBoost,7,10.285714285714286,1.0057211780323003,2
22day,SquaredError,LSTM,7,8.142857142857142,0.8870008334451049,4
22day,SquaredError,GRU,7,7.142857142857143,0.8506484108946477,5
22day,SquaredError,Transformer,7,5.428571428571429,0.8012745953356882,6
22day,SquaredError,GARCHLSTM,7,5.571428571428571,0.769003058728626,5
22day,SquaredError,GARCHGRU,7,7.428571428571429,0.7186477556150344,7
22day,SquaredError,GARCHTransformer,7,4.714285714285714,0.803857189328837,7
22day,AbsoluteError,HistoricalVolatility,7,7.071428571428571,1.0,
22day,AbsoluteError,Persistence,7,7.071428571428571,1.0,
22day,AbsoluteError,GARCH,7,7.285714285714286,0.9139769822267118,
22day,AbsoluteError,EGARCH,7,9.857142857142858,1.1964083153983998,
22day,AbsoluteError,GJRGARCH,7,8.142857142857142,0.9494005293866217,
22day,AbsoluteError,LinearRegression,7,6.0,1.0207347778957339,
22day,AbsoluteError,RandomForest,7,11.714285714285714,1.2147911974637886,
22day,AbsoluteError,XGBoost,7,11.0,1.2318056164457396,
22day,AbsoluteError,LSTM,7,7.857142857142857,1.01869938293601,
22day,AbsoluteError,GRU,7,7.571428571428571,1.0216355233750942,
22day,AbsoluteError,Transformer,7,5.571428571428571,0.9560274070337753,
22day,AbsoluteError,GARCHLSTM,7,5.714285714285714,0.9548744576223139,
22day,AbsoluteError,GARCHGRU,7,6.142857142857143,0.9507116519458054,
22day,AbsoluteError,GARCHTransformer,7,4.0,0.9680704356366033,
