Analysis,Horizon,Index,Loss,Model_A,Model_B,Part_A,Family_A,Part_B,Family_B,N,Start,End,Mean_Loss_A,Mean_Loss_B,Mean_Diff,Direction,DM_Stat,Ref_Dist,HAC_Kernel,HAC_Lag,HAC_Lag_Rule,LongRun_Var,P_Raw,Correction,Test_Family,Family_Size,P_Adj,Alpha,Significant,Status
ablation,1day,^IXIC,QLIKE,GARCHGRU,GRU,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-0.7503522807078232,-0.7503035306989608,-4.8750008862577324e-05,A_lower,-0.07040256852010172,t(T-1),Bartlett,22,auto_floor_h-1,0.0003773524051796433,0.943891154960904,holm,ablation|QLIKE|auto_floor_h-1,63,1.0,0.05,False,tested
ablation,1day,^IXIC,QLIKE,GARCHTransformer,Transformer,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-0.7022611164266779,-0.681439717016551,-0.020821399410126805,A_lower,-2.3653500744702853,t(T-1),Bartlett,25,auto_floor_h-1,0.060982287469498755,0.018254917196685316,holm,ablation|QLIKE|auto_floor_h-1,63,0.7849614394574687,0.05,False,tested
ablation,1day,^IXIC,QLIKE,GARCHLSTM,LSTM,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-0.7513197149238815,-0.7485684197944338,-0.002751295129447655,A_lower,-3.5492395766607667,t(T-1),Bartlett,21,fixed_21,0.00047290995897700337,0.00040929290142493243,holm,ablation|QLIKE|fixed_21,63,0.022920402479796216,0.05,True,tested
ablation,1day,^IXIC,QLIKE,GARCHGRU,GRU,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-0.7503522807078232,-0.7503035306989608,-4.8750008862577324e-05,A_lower,-0.07079910095189114,t(T-1),Bartlett,21,fixed_21,0.00037313728286235474,0.9435756567517152,holm,ablation|QLIKE|fixed_21,63,1.0,0.05,False,tested
ablation,1day,^IXIC,QLIKE,GARCHTransformer,Transformer,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-0.7022611164266779,-0.681439717016551,-0.020821399410126805,A_lower,-2.456069790160833,t(T-1),Bartlett,21,fixed_21,0.05656048907468783,0.01426192016666634,holm,ablation|QLIKE|fixed_21,63,0.6132625671666526,0.05,False,tested
ablation,1day,^IXIC,SquaredError,GARCHLSTM,LSTM,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,0.000276082010923077,0.000496590569327038,-0.00022050855840396097,A_lower,-2.598757784116631,t(T-1),Bartlett,22,auto_floor_h-1,5.666227741092933e-06,0.00953152013368339,holm,ablation|SquaredError|auto_floor_h-1,63,0.47657600668416955,0.05,False,tested
ablation,1day,^IXIC,SquaredError,GARCHGRU,GRU,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,0.0003858221366988333,0.0004085139829543365,-2.269184625550324e-05,A_lower,-0.4745590122329827,t(T-1),Bartlett,10,auto_floor_h-1,1.7994258138979316e-06,0.6352331434153232,holm,ablation|SquaredError|auto_floor_h-1,63,1.0,0.05,False,tested
ablation,1day,^IXIC,SquaredError,GARCHTransformer,Transformer,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,0.004116591390348294,0.005410386802292245,-0.0012937954119439526,A_lower,-1.68697131965935,t(T-1),Bartlett,24,auto_floor_h-1,0.0004629035884151381,0.0920056542499862,holm,ablation|SquaredError|auto_floor_h-1,63,1.0,0.05,False,tested
ablation,1day,^IXIC,SquaredError,GARCHLSTM,LSTM,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,0.000276082010923077,0.000496590569327038,-0.00022050855840396097,A_lower,-2.6132427225102077,t(T-1),Bartlett,21,fixed_21,5.603587181549673e-06,0.009140221699033564,holm,ablation|SquaredError|fixed_21,63,0.4570110849516782,0.05,False,tested
ablation,1day,^IXIC,SquaredError,GARCHGRU,GRU,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,0.0003858221366988333,0.0004085139829543365,-2.269184625550324e-05,A_lower,-0.48541358062336953,t(T-1),Bartlett,21,fixed_21,1.719849925720862e-06,0.6275182724063264,holm,ablation|SquaredError|fixed_21,63,1.0,0.05,False,tested
ablation,1day,^IXIC,SquaredError,GARCHTransformer,Transformer,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,0.004116591390348294,0.005410386802292245,-0.0012937954119439526,A_lower,-1.733556266758292,t(T-1),Bartlett,21,fixed_21,0.000438359134905819,0.08338899154388002,holm,ablation|SquaredError|fixed_21,63,1.0,0.05,False,tested
ablation,1day,^FTSE,QLIKE,GARCHLSTM,LSTM,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-1.3444785403976531,-1.3449193016863175,0.0004407612886639882,B_lower,1.0274593947051216,t(T-1),Bartlett,19,auto_floor_h-1,0.00014482791738708585,0.3045202777146221,holm,ablation|QLIKE|auto_floor_h-1,63,1.0,0.05,False,tested
ablation,1day,^FTSE,QLIKE,GARCHGRU,GRU,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-1.3409152452445925,-1.3295803230669516,-0.011334922177640882,A_lower,-3.28481435740174,t(T-1),Bartlett,20,auto_floor_h-1,0.00937109104496249,0.0010656910028463457,holm,ablation|QLIKE|auto_floor_h-1,63,0.05648162315085632,0.05,False,tested
ablation,1day,^FTSE,QLIKE,GARCHTransformer,Transformer,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-1.3121121075859894,-1.3075956382638765,-0.00451646932211288,A_lower,-0.7561021064644845,t(T-1),Bartlett,24,auto_floor_h-1,0.02808096095798067,0.44981452323943094,holm,ablation|QLIKE|auto_floor_h-1,63,1.0,0.05,False,tested
ablation,1day,^FTSE,QLIKE,GARCHLSTM,LSTM,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-1.3444785403976531,-1.3449193016863175,0.0004407612886639882,B_lower,1.022271919786705,t(T-1),Bartlett,21,fixed_21,0.00014630149280626112,0.3069667467070298,holm,ablation|QLIKE|fixed_21,63,1.0,0.05,False,tested
ablation,1day,^FTSE,QLIKE,GARCHGRU,GRU,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-1.3409152452445925,-1.3295803230669516,-0.011334922177640882,A_lower,-3.2717646396061473,t(T-1),Bartlett,21,fixed_21,0.009445994951207369,0.0011154158321587135,holm,ablation|QLIKE|fixed_21,63,0.058001623272253104,0.05,False,tested
ablation,1day,^FTSE,QLIKE,GARCHTransformer,Transformer,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-1.3121121075859894,-1.3075956382638765,-0.00451646932211288,A_lower,-0.7747387445991879,t(T-1),Bartlett,21,fixed_21,0.026746213721628005,0.43872704482539204,holm,ablation|QLIKE|fixed_21,63,1.0,0.05,False,tested
ablation,1day,^FTSE,SquaredError,GARCHLSTM,LSTM,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,0.00014116861589467115,0.00012367380078766023,1.7494815107010902e-05,B_lower,0.974142798681038,t(T-1),Bartlett,18,auto_floor_h-1,2.538330672375009e-07,0.3302853392081368,holm,ablation|SquaredError|auto_floor_h-1,63,1.0,0.05,False,tested
ablation,1day,^FTSE,SquaredError,GARCHGRU,GRU,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,0.00020384594715339076,0.0006462081652096309,-0.00044236221805624013,A_lower,-2.9573912402372877,t(T-1),Bartlett,17,auto_floor_h-1,1.7608129436183456e-05,0.00319551229644023,holm,ablation|SquaredError|auto_floor_h-1,63,0.18533971319353335,0.05,False,tested
ablation,1day,^FTSE,SquaredError,GARCHTransformer,Transformer,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,0.0013215022795641722,0.001616322059373185,-0.0002948197798090131,A_lower,-1.0712183264955168,t(T-1),Bartlett,24,auto_floor_h-1,5.961176480833894e-05,0.2844000855566881,holm,ablation|SquaredError|auto_floor_h-1,63,1.0,0.05,False,tested
ablation,1day,^FTSE,SquaredError,GARCHLSTM,LSTM,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,0.00014116861589467115,0.00012367380078766023,1.7494815107010902e-05,B_lower,0.9716543606652724,t(T-1),Bartlett,21,fixed_21,2.551348813701662e-07,0.33152144127319255,holm,ablation|SquaredError|fixed_21,63,1.0,0.05,False,tested
ablation,1day,^FTSE,SquaredError,GARCHGRU,GRU,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,0.00020384594715339076,0.0006462081652096309,-0.00044236221805624013,A_lower,-2.9390440384303433,t(T-1),Bartlett,21,fixed_21,1.782865574525204e-05,0.0033886861884339452,holm,ablation|SquaredError|fixed_21,63,0.19654379892916882,0.05,False,tested
ablation,1day,^FTSE,SquaredError,GARCHTransformer,Transformer,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,0.0013215022795641722,0.001616322059373185,-0.0002948197798090131,A_lower,-1.1085865792143628,t(T-1),Bartlett,21,fixed_21,5.566070900907661e-05,0.26794766265307174,holm,ablation|SquaredError|fixed_21,63,1.0,0.05,False,tested
ablation,1day,^GDAXI,QLIKE,GARCHLSTM,LSTM,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-1.061587480613038,-1.0635831737370285,0.0019956931239901794,B_lower,3.5173953697544738,t(T-1),Bartlett,21,auto_floor_h-1,0.00025334939950283526,0.00046081353982961744,holm,ablation|QLIKE|auto_floor_h-1,63,0.02534474469062896,0.05,True,tested
ablation,1day,^GDAXI,QLIKE,GARCHGRU,GRU,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-1.0571996928697927,-1.0617619462820014,0.004562253412208701,B_lower,3.47012244772713,t(T-1),Bartlett,23,auto_floor_h-1,0.0013603289551975795,0.0005485750945603758,holm,ablation|QLIKE|auto_floor_h-1,63,0.029623055106260295,0.05,True,tested
