Analysis,Horizon,Index,Loss,Model_A,Model_B,Part_A,Family_A,Part_B,Family_B,N,Start,End,Mean_Loss_A,Mean_Loss_B,Mean_Diff,Direction,DM_Stat,Ref_Dist,HAC_Kernel,HAC_Lag,HAC_Lag_Rule,LongRun_Var,P_Raw,Correction,Test_Family,Family_Size,P_Adj,Alpha,Significant,Status
hybrid_vs_garch,1day,^IXIC,QLIKE,GARCHLSTM,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-0.7513197149238815,-0.7451416739895358,-0.006178040934345539,A_lower,-4.492176781437047,t(T-1),Bartlett,20,auto_floor_h-1,0.0014885472262411415,8.107644517664362e-06,holm,hybrid_vs_garch|QLIKE|auto_floor_h-1,63,0.0003891669368478894,0.05,True,tested
hybrid_vs_garch,1day,^IXIC,QLIKE,GARCHGRU,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-0.7503522807078232,-0.7451416739895358,-0.0052106067182873415,A_lower,-4.106796057392779,t(T-1),Bartlett,19,auto_floor_h-1,0.0012669079159029883,4.4320229347999606e-05,holm,hybrid_vs_garch|QLIKE|auto_floor_h-1,63,0.0019500900913119827,0.05,True,tested
hybrid_vs_garch,1day,^IXIC,QLIKE,GARCHTransformer,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-0.7022611164266779,-0.7451416739895358,0.04288055756285807,B_lower,4.636629552129041,t(T-1),Bartlett,24,auto_floor_h-1,0.06731173454551313,4.14602354105187e-06,holm,hybrid_vs_garch|QLIKE|auto_floor_h-1,63,0.00020315515351154164,0.05,True,tested
hybrid_vs_garch,1day,^IXIC,QLIKE,GARCHLSTM,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-0.7513197149238815,-0.7451416739895358,-0.006178040934345539,A_lower,-4.479062984079328,t(T-1),Bartlett,21,fixed_21,0.0014972763210605107,8.608730227561401e-06,holm,hybrid_vs_garch|QLIKE|fixed_21,63,0.00041321905092294727,0.05,True,tested
hybrid_vs_garch,1day,^IXIC,QLIKE,GARCHGRU,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-0.7503522807078232,-0.7451416739895358,-0.0052106067182873415,A_lower,-4.112298841902254,t(T-1),Bartlett,21,fixed_21,0.0012635196130939903,4.329845678710384e-05,holm,hybrid_vs_garch|QLIKE|fixed_21,63,0.0019484305554196728,0.05,True,tested
hybrid_vs_garch,1day,^IXIC,QLIKE,GARCHTransformer,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-0.7022611164266779,-0.7451416739895358,0.04288055756285807,B_lower,4.736137323502671,t(T-1),Bartlett,21,fixed_21,0.06451296574193675,2.584248115176858e-06,holm,hybrid_vs_garch|QLIKE|fixed_21,63,0.00013179665387401976,0.05,True,tested
hybrid_vs_garch,1day,^IXIC,SquaredError,GARCHLSTM,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.000276082010923077,0.0010411044170440347,-0.0007650224061209579,A_lower,-1.8468817798507018,t(T-1),Bartlett,22,auto_floor_h-1,0.000135034533598704,0.06513997375736712,holm,hybrid_vs_garch|SquaredError|auto_floor_h-1,63,1.0,0.05,False,tested
hybrid_vs_garch,1day,^IXIC,SquaredError,GARCHGRU,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.0003858221366988333,0.0010411044170440347,-0.0006552822803452014,A_lower,-1.8757977641087948,t(T-1),Bartlett,22,auto_floor_h-1,9.604163683932623e-05,0.06105348811562836,holm,hybrid_vs_garch|SquaredError|auto_floor_h-1,63,1.0,0.05,False,tested
hybrid_vs_garch,1day,^IXIC,SquaredError,GARCHTransformer,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.004116591390348294,0.0010411044170440347,0.0030754869733042585,B_lower,2.463425572343165,t(T-1),Bartlett,24,auto_floor_h-1,0.0012266583660825222,0.013974853525846183,holm,hybrid_vs_garch|SquaredError|auto_floor_h-1,63,0.5589941410338474,0.05,False,tested
hybrid_vs_garch,1day,^IXIC,SquaredError,GARCHLSTM,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.000276082010923077,0.0010411044170440347,-0.0007650224061209579,A_lower,-1.8602961938512574,t(T-1),Bartlett,21,fixed_21,0.00013309411336141015,0.06321693732521526,holm,hybrid_vs_garch|SquaredError|fixed_21,63,1.0,0.05,False,tested
hybrid_vs_garch,1day,^IXIC,SquaredError,GARCHGRU,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.0003858221366988333,0.0010411044170440347,-0.0006552822803452014,A_lower,-1.8868638708130625,t(T-1),Bartlett,21,fixed_21,9.491840751184809e-05,0.05954695088754422,holm,hybrid_vs_garch|SquaredError|fixed_21,63,1.0,0.05,False,tested
hybrid_vs_garch,1day,^IXIC,SquaredError,GARCHTransformer,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.004116591390348294,0.0010411044170440347,0.0030754869733042585,B_lower,2.519086532511306,t(T-1),Bartlett,21,fixed_21,0.0011730495138298049,0.011963293907807048,holm,hybrid_vs_garch|SquaredError|fixed_21,63,0.502458344127896,0.05,False,tested
hybrid_vs_garch,1day,^FTSE,QLIKE,GARCHLSTM,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-1.3444785403976531,-1.3227667605883267,-0.02171177980932648,A_lower,-7.294079932322287,t(T-1),Bartlett,21,auto_floor_h-1,0.0069730783943243784,7.352878071976427e-13,holm,hybrid_vs_garch|QLIKE|auto_floor_h-1,63,4.48525562390562e-11,0.05,True,tested
hybrid_vs_garch,1day,^FTSE,QLIKE,GARCHGRU,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-1.3409152452445925,-1.3227667605883267,-0.018148484656265833,A_lower,-7.183953313449645,t(T-1),Bartlett,21,auto_floor_h-1,0.005022598550276804,1.573993006154677e-12,holm,hybrid_vs_garch|QLIKE|auto_floor_h-1,63,9.443958036928062e-11,0.05,True,tested
hybrid_vs_garch,1day,^FTSE,QLIKE,GARCHTransformer,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-1.3121121075859894,-1.3227667605883267,0.010654653002337373,B_lower,1.5555417094824728,t(T-1),Bartlett,23,auto_floor_h-1,0.03692240926200853,0.12021964385771185,holm,hybrid_vs_garch|QLIKE|auto_floor_h-1,63,1.0,0.05,False,tested
hybrid_vs_garch,1day,^FTSE,QLIKE,GARCHLSTM,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-1.3444785403976531,-1.3227667605883267,-0.02171177980932648,A_lower,-7.294079932322287,t(T-1),Bartlett,21,fixed_21,0.0069730783943243784,7.352878071976427e-13,holm,hybrid_vs_garch|QLIKE|fixed_21,63,4.48525562390562e-11,0.05,True,tested
hybrid_vs_garch,1day,^FTSE,QLIKE,GARCHGRU,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-1.3409152452445925,-1.3227667605883267,-0.018148484656265833,A_lower,-7.183953313449645,t(T-1),Bartlett,21,fixed_21,0.005022598550276804,1.573993006154677e-12,holm,hybrid_vs_garch|QLIKE|fixed_21,63,9.443958036928062e-11,0.05,True,tested
hybrid_vs_garch,1day,^FTSE,QLIKE,GARCHTransformer,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-1.3121121075859894,-1.3227667605883267,0.010654653002337373,B_lower,1.585905555702773,t(T-1),Bartlett,21,fixed_21,0.03552210649244107,0.11316293918459988,holm,hybrid_vs_garch|QLIKE|fixed_21,63,1.0,0.05,False,tested
hybrid_vs_garch,1day,^FTSE,SquaredError,GARCHLSTM,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.00014116861589467115,0.000736438190762245,-0.0005952695748675738,A_lower,-4.572433072130155,t(T-1),Bartlett,17,auto_floor_h-1,1.3338512160564467e-05,5.598377049586764e-06,holm,hybrid_vs_garch|SquaredError|auto_floor_h-1,63,0.00031910749182644557,0.05,True,tested
hybrid_vs_garch,1day,^FTSE,SquaredError,GARCHGRU,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.00020384594715339076,0.000736438190762245,-0.0005325922436088543,A_lower,-4.072432607528541,t(T-1),Bartlett,20,auto_floor_h-1,1.3460357501246729e-05,5.1238127289271815e-05,holm,hybrid_vs_garch|SquaredError|auto_floor_h-1,63,0.00281809700090995,0.05,True,tested
