Date,garch_vol_feature
2005-02-08,0.006466247215361527
2005-02-09,0.006196808693152206
2005-02-10,0.006704885178330746
2005-02-11,0.006526443493334522
2005-02-14,0.00659938004995714
2005-02-15,0.006317560359609963
2005-02-16,0.006129274943467803
2005-02-17,0.0058932590551433505
2005-02-18,0.006360483293033196
2005-02-21,0.006100961645993852
2005-02-22,0.005869424067557178
2005-02-23,0.007614444723309109
2005-02-24,0.0074333019202961195
2005-02-25,0.0074844525085312925
2005-02-28,0.007693484631071954
2005-03-01,0.007684134839857969
2005-03-02,0.007499147465857189
2005-03-03,0.0071425250324635625
2005-03-04,0.006811990898869881
2005-03-07,0.007173653983159984
2005-03-08,0.0068730057208288295
2005-03-09,0.00681125483690139
2005-03-10,0.007453737715045229
2005-03-11,0.007107777866637841
2005-03-14,0.007316353509408367
2005-03-15,0.007169828926252247
2005-03-16,0.007361297948477477
2005-03-17,0.007594145087473203
2005-03-18,0.007234711370307023
2005-03-21,0.006904599636330017
2005-03-22,0.006851182688413198
2005-03-23,0.007487284442785378
2005-03-24,0.007125895589475633
2005-03-25,0.006815805303030847
2005-03-28,0.006517075762953751
2005-03-29,0.006273387701894019
2005-03-30,0.006622137494315673
2005-03-31,0.007708122257036593
2005-04-01,0.0073402077572880505
2005-04-04,0.007386707776851467
2005-04-05,0.007070231951608139
2005-04-06,0.006869689694807259
2005-04-07,0.006586974131920561
2005-04-08,0.006557253756048181
2005-04-11,0.006962410071198744
2005-04-12,0.006650271612323652
2005-04-13,0.006575380578738113
2005-04-14,0.007548507742857376
2005-04-15,0.008019300622228488
2005-04-18,0.009600962769558446
2005-04-19,0.009098079943168717
2005-04-20,0.008784812385384123
2005-04-21,0.009536478381851114
2005-04-22,0.01102020271793646
2005-04-25,0.010662126014153044
2005-04-26,0.010396618201386845
2005-04-27,0.010298409917539988
2005-04-28,0.009771227461771033
2005-04-29,0.010065163947211938
2005-05-02,0.010214460089261574
2005-05-03,0.009721421525614756
2005-05-04,0.009187732917123033
2005-05-05,0.009542558906129288
2005-05-06,0.009072576723219818
2005-05-09,0.008596755235049368
2005-05-10,0.008368809574924923
2005-05-11,0.008798352182294272
2005-05-12,0.008412926191753463
2005-05-13,0.008739139203476659
2005-05-16,0.00845245617303364
2005-05-17,0.008611847400415597
