Date,000001.SS_return,000001.SS_rv,000001.SS_rv_lag1,000001.SS_rv_lag2,000001.SS_rv_lag3,^FTSE_return,^FTSE_rv,^FTSE_rv_lag1,^FTSE_rv_lag2,^FTSE_rv_lag3,^GDAXI_return,^GDAXI_rv,^GDAXI_rv_lag1,^GDAXI_rv_lag2,^GDAXI_rv_lag3,^GSPC_return,^GSPC_rv,^GSPC_rv_lag1,^GSPC_rv_lag2,^GSPC_rv_lag3,^HSI_return,^HSI_rv,^HSI_rv_lag1,^HSI_rv_lag2,^HSI_rv_lag3,^IXIC_return,^IXIC_rv,^IXIC_rv_lag1,^IXIC_rv_lag2,^IXIC_rv_lag3,^N225_return,^N225_rv,^N225_rv_lag1,^N225_rv_lag2,^N225_rv_lag3,000001.SS_target,^FTSE_target,^GDAXI_target,^GSPC_target,^HSI_target,^IXIC_target,^N225_target
2013-12-06,-0.0044401048512393,0.1577937347015095,0.1601438219251967,0.1596120113047409,0.154957393722846,0.0082297723738013,0.0884603703464667,0.081826124484085,0.0818686503702237,0.0840842145907106,0.0095808625419548,0.1054292331464593,0.101182478154512,0.0993688998678174,0.0937656052979865,0.0111751948768758,0.0943568541325943,0.0879884944086325,0.0871065570584347,0.0873637661042239,0.0012866450368066,0.1537273812371833,0.1538068809963614,0.1559675059011997,0.1535168222032648,0.0072508276521113,0.1188336520259747,0.1175681123083704,0.1173002022368563,0.1175562038692074,0.0080302764134053,0.1976982301829138,0.1976401028757767,0.1871732562351828,0.1644572732457755,0.1436787668192634,0.0966529718245462,0.1321542857906219,0.0906992301810296,0.1269747845013226,0.1011967855303537,0.1830295503684836
2013-12-09,0.0004880294590393,0.1560640309445542,0.1577937347015095,0.1601438219251967,0.1596120113047409,0.0011440339881796,0.0867384691639301,0.0884603703464667,0.081826124484085,0.0818686503702237,0.0024782554018465,0.1047950189031787,0.1054292331464593,0.101182478154512,0.0993688998678174,0.0018154512479509,0.0799178275005743,0.0943568541325943,0.0879884944086325,0.0871065570584347,0.0028628495259193,0.1510240673190102,0.1537273812371833,0.1538068809963614,0.1559675059011997,0.0015323514464131,0.0936656497507196,0.1188336520259747,0.1175681123083704,0.1173002022368563,0.022640631922634,0.204679725289341,0.1976982301829138,0.1976401028757767,0.1871732562351828,0.1433646019738065,0.0985671244945504,0.136053268730083,0.0906397023799176,0.1285692453218238,0.1018333680214157,0.177341068910048
2013-12-10,-0.0003163791588383,0.149216631818787,0.1560640309445542,0.1577937347015095,0.1601438219251967,-0.0055340276149132,0.087555458690283,0.0867384691639301,0.0884603703464667,0.081826124484085,-0.0088183215024932,0.1095012760697819,0.1047950189031787,0.1054292331464593,0.101182478154512,-0.003184724895657,0.0696099365787308,0.0799178275005743,0.0943568541325943,0.0879884944086325,-0.002816949085119,0.1494308685356097,0.1510240673190102,0.1537273812371833,0.1538068809963614,-0.0020321733933752,0.0815518636077542,0.0936656497507196,0.1188336520259747,0.1175681123083704,-0.0024887088846805,0.1998881835284188,0.204679725289341,0.1976982301829138,0.1976401028757767,0.1428293955227064,0.0980322845354532,0.1320809686454314,0.0896848876331605,0.1294519891483555,0.1019009280010346,0.1770337692854528
2013-12-11,-0.015006357279506,0.1608811024418303,0.149216631818787,0.1560640309445542,0.1577937347015095,-0.0023942317284723,0.0863059684620511,0.087555458690283,0.0867384691639301,0.0884603703464667,-0.0041041174523464,0.1098546709789328,0.1095012760697819,0.1047950189031787,0.1054292331464593,-0.0113813976746069,0.0809344280088601,0.0696099365787308,0.0799178275005743,0.0943568541325943,-0.0172446189114425,0.1562439568645842,0.1494308685356097,0.1510240673190102,0.1537273812371833,-0.0140572311672552,0.0972638519334891,0.0815518636077542,0.0936656497507196,0.1188336520259747,-0.0061844866225666,0.2008876229461102,0.1998881835284188,0.204679725289341,0.1976982301829138,0.1384181697439206,0.0971098782766824,0.1305882646024048,0.091872019562229,0.1176227529885924,0.1032807738287749,0.1753065315584586
2013-12-12,-0.0006217967199907,0.1595796850923223,0.1608811024418303,0.149216631818787,0.1560640309445542,-0.0096349684794081,0.0903989412879213,0.0863059684620511,0.087555458690283,0.0867384691639301,-0.0066442142253234,0.1115236146086392,0.1098546709789328,0.1095012760697819,0.1047950189031787,-0.0037776883791563,0.0816203285185283,0.0809344280088601,0.0696099365787308,0.0799178275005743,-0.0051602557379298,0.1551044461359507,0.1562439568645842,0.1494308685356097,0.1510240673190102,-0.0013521657393933,0.097535572974922,0.0972638519334891,0.0815518636077542,0.0936656497507196,-0.0112286840848491,0.196073976251861,0.2008876229461102,0.1998881835284188,0.204679725289341,0.1446182413113398,0.08843005269915,0.1268575528758838,0.0960080140950801,0.1172717189806893,0.1154152332944596,0.2031651159927192
2013-12-13,-0.003055762592376,0.1441709898321853,0.1595796850923223,0.1608811024418303,0.149216631818787,-0.0008226125998919,0.0787055323892203,0.0903989412879213,0.0863059684620511,0.087555458690283,-0.001169591220205,0.1113257453190984,0.1115236146086392,0.1098546709789328,0.1095012760697819,-0.0001014152865058,0.0767125336889765,0.0816203285185283,0.0809344280088601,0.0696099365787308,0.0011984225302825,0.1381029110555321,0.1551044461359507,0.1562439568645842,0.1494308685356097,0.0006450695559566,0.0898889645603635,0.097535572974922,0.0972638519334891,0.0815518636077542,0.0039870065684762,0.1956868220181944,0.196073976251861,0.2008876229461102,0.1998881835284188,0.1447686532703657,0.0896854254049138,0.139110728243101,0.096539821723509,0.1186753466063511,0.1167834958935397,0.219265480564464
2013-12-16,-0.0161648615862343,0.1563389332865832,0.1441709898321853,0.1595796850923223,0.1608811024418303,0.0126832321665391,0.0892886237522413,0.0787055323892203,0.0903989412879213,0.0863059684620511,0.0172926092823844,0.1212175970097481,0.1113257453190984,0.1115236146086392,0.1098546709789328,0.0063001521293962,0.0780162458469591,0.0767125336889765,0.0816203285185283,0.0809344280088601,-0.005664338795067,0.1380600283545025,0.1381029110555321,0.1551044461359507,0.1562439568645842,0.0071079407814395,0.092630897070162,0.0898889645603635,0.097535572974922,0.0972638519334891,-0.0163768568768924,0.19424093304884,0.1956868220181944,0.196073976251861,0.2008876229461102,0.1383374128604898,0.0827981259671194,0.1311707748772162,0.0957602074166938,0.1181759832839441,0.1156435152383067,0.2111935547086949
2013-12-17,-0.0045371683195252,0.1475198635422887,0.1563389332865832,0.1441709898321853,0.1595796850923223,-0.0055348991150707,0.0886570580337573,0.0892886237522413,0.0787055323892203,0.0903989412879213,-0.0085967793346276,0.1244358566892084,0.1212175970097481,0.1113257453190984,0.1115236146086392,-0.0031058059363714,0.077083384909091,0.0780162458469591,0.0767125336889765,0.0816203285185283,-0.0019673397601583,0.1263213529731372,0.1380600283545025,0.1381029110555321,0.1551044461359507,-0.0014503772288777,0.0923827534764765,0.092630897070162,0.0898889645603635,0.097535572974922,0.0082625093328135,0.1850567022419412,0.19424093304884,0.1956868220181944,0.196073976251861,0.1399155535722181,0.0783785494184767,0.1249581389326677,0.0962554535678701,0.1200793314388151,0.117565707427761,0.2100647079549494
2013-12-18,-0.0012998154320699,0.1090706380688252,0.1475198635422887,0.1563389332865832,0.1441709898321853,0.0009091949819297,0.086595010339191,0.0886570580337573,0.0892886237522413,0.0787055323892203,0.0105798950274222,0.1280789424269814,0.1244358566892084,0.1212175970097481,0.1113257453190984,0.0165109060091741,0.0950643892960037,0.077083384909091,0.0780162458469591,0.0767125336889765,0.003228088484154,0.0844777264968753,0.1263213529731372,0.1380600283545025,0.1381029110555321,0.0114608659736326,0.092867690508985,0.0923827534764765,0.092630897070162,0.0898889645603635,0.0200334321191624,0.1966671616209997,0.1850567022419412,0.19424093304884,0.1956868220181944,0.1402738927357553,0.0783425885647818,0.1236354378644576,0.0801210518232406,0.1232717940854112,0.1127068766871504,0.2004887797068108
2013-12-19,-0.0095849898278901,0.1128491919882785,0.1090706380688252,0.1475198635422887,0.1563389332865832,0.0141627375827857,0.101206335908334,0.086595010339191,0.0886570580337573,0.0892886237522413,0.0166322522429017,0.1395025822655395,0.1280789424269814,0.1244358566892084,0.1212175970097481,-0.0005800974283937,0.0947256724413748,0.0950643892960037,0.077083384909091,0.0780162458469591,-0.0110822802786189,0.0909940433893681,0.0844777264968753,0.1263213529731372,0.1380600283545025,-0.0029330416654934,0.0918658246217242,0.092867690508985,0.0923827534764765,0.092630897070162,0.0172624729459169,0.2034033693359219,0.1966671616209997,0.1850567022419412,0.19424093304884,0.1441135865102482,0.0666035161666571,0.1131461649799937,0.0802814509463711,0.1182987202944121,0.1129708324666237,0.1943544348464226
