Horizon,Index,Model,Date,Actual,Predicted,SquaredError,AbsoluteError,QLIKE_Loss
22day,^GSPC,HistoricalVolatility,2022-11-25,0.1998549958182024,0.258632689027103,0.003454817218959641,0.05877769320890061,-0.5796096155628094
22day,^GSPC,HistoricalVolatility,2022-11-28,0.1974163155576934,0.2642278933859568,0.0044637869319021,0.06681157782826341,-0.5837992007010949
22day,^GSPC,HistoricalVolatility,2022-11-29,0.2081009837925816,0.2520281813271978,0.0019295986832451903,0.043927197534616186,-0.5525091514894452
22day,^GSPC,HistoricalVolatility,2022-11-30,0.1750470728290984,0.2694652603263745,0.00891479413027079,0.09441818749727612,-0.6617067471757421
22day,^GSPC,HistoricalVolatility,2022-12-01,0.1751844198557572,0.2687508285771513,0.00875467284101898,0.09356640872139413,-0.662123622047779
22day,^GSPC,HistoricalVolatility,2022-12-02,0.1751487050822558,0.2505400626681451,0.0056838567986434285,0.0753913575858893,-0.6850518181303265
22day,^GSPC,HistoricalVolatility,2022-12-05,0.169807665806716,0.2567846171025955,0.007564990056725792,0.08697695129587948,-0.6982331942422677
22day,^GSPC,HistoricalVolatility,2022-12-06,0.1675282939250294,0.2608631515331014,0.008711395644719077,0.093334857608072,-0.7015517502332101
22day,^GSPC,HistoricalVolatility,2022-12-07,0.1863733703947793,0.2597569092326588,0.005385143772370571,0.07338353883787951,-0.6305175653841212
22day,^GSPC,HistoricalVolatility,2022-12-08,0.1842324663333575,0.2601981568253007,0.005770786131917707,0.07596569049194318,-0.6382650195677011
22day,^GSPC,HistoricalVolatility,2022-12-09,0.1845024714760362,0.2498960852252589,0.004276324719182528,0.0653936137492227,-0.6483933326398724
22day,^GSPC,HistoricalVolatility,2022-12-12,0.1832429657101578,0.1765392760340623,4.493945527338936e-05,0.006703689676095498,-0.6962391056113981
22day,^GSPC,HistoricalVolatility,2022-12-13,0.1818082833983052,0.1754992405899731,3.9804021157367125e-05,0.00630904280833211,-0.7041714457811601
22day,^GSPC,HistoricalVolatility,2022-12-14,0.1812394460623849,0.1739245158592996,5.350820387600949e-05,0.007314930203085296,-0.7070758165371778
22day,^GSPC,HistoricalVolatility,2022-12-15,0.1575791540793897,0.1916158887408225,0.0011584993064127818,0.03403673466143281,-0.8298925129337963
22day,^GSPC,HistoricalVolatility,2022-12-16,0.1518806823779625,0.1931736089484705,0.001705105784757364,0.04129292657050798,-0.857926669804393
22day,^GSPC,HistoricalVolatility,2022-12-19,0.1589634836122973,0.1949032369538272,0.0012916658702500081,0.03593975334152988,-0.8196499937975033
22day,^GSPC,HistoricalVolatility,2022-12-20,0.1618435051590982,0.1938757471425199,0.0010260645264844833,0.032032241983421694,-0.8057582733415447
22day,^GSPC,HistoricalVolatility,2022-12-21,0.1664300372490772,0.2014478887883358,0.0012262499264255558,0.0350178515392586,-0.7760553667026305
22day,^GSPC,HistoricalVolatility,2022-12-22,0.1605016207604595,0.1998823021235845,0.0015508380646239788,0.039380681363124975,-0.807045925655543
22day,^GSPC,HistoricalVolatility,2022-12-23,0.1602906364830993,0.1998601119564757,0.0015657433892381377,0.039569475473376414,-0.8081234540116845
22day,^GSPC,HistoricalVolatility,2022-12-26,0.1603188998698708,0.1998601119564757,0.0015635074532778703,0.03954121208660491,-0.807982038165897
22day,^GSPC,HistoricalVolatility,2022-12-27,0.1615735515488501,0.1998549958182024,0.0014654689753475273,0.038281444269352316,-0.8017092925694472
22day,^GSPC,HistoricalVolatility,2022-12-28,0.1528945733021517,0.1974163155576934,0.0019821855334688876,0.0445217422555417,-0.8479626041267281
22day,^GSPC,HistoricalVolatility,2022-12-29,0.1541025302922362,0.2081009837925816,0.002915832980428965,0.053998453500345406,-0.8292137893771222
22day,^GSPC,HistoricalVolatility,2022-12-30,0.158896800513642,0.1750470728290984,0.0002608312958633976,0.016150272315456404,-0.8349628065531831
22day,^GSPC,HistoricalVolatility,2023-01-02,0.1606454101718275,0.1751844198557572,0.00021138280258940108,0.014539009683929682,-0.8249086276349558
22day,^GSPC,HistoricalVolatility,2023-01-03,0.1629531732520683,0.1751487050822558,0.00014873099662111676,0.012195531830187512,-0.8117495085981615
22day,^GSPC,HistoricalVolatility,2023-01-04,0.169528669561483,0.169807665806716,7.783890485411459e-08,0.00027899624523300415,-0.7747318732823365
22day,^GSPC,HistoricalVolatility,2023-01-05,0.1646256272571626,0.1675282939250294,8.425473784745042e-06,0.0029026666678668156,-0.8039294495059511
22day,^GSPC,HistoricalVolatility,2023-01-06,0.1539803503115701,0.1863733703947793,0.0010493077501111954,0.03239302008320921,-0.8538103767627268
22day,^GSPC,HistoricalVolatility,2023-01-09,0.1609025902024655,0.1842324663333575,0.0005442831202827639,0.02332987613089199,-0.8181897314646763
22day,^GSPC,HistoricalVolatility,2023-01-10,0.1645904647742707,0.1845024714760362,0.00039648801089115486,0.019912006701765517,-0.7980151299399904
22day,^GSPC,HistoricalVolatility,2023-01-11,0.1599954693410011,0.1832429657101578,0.0005404460874339545,0.02324749636915671,-0.8238093854933336
22day,^GSPC,HistoricalVolatility,2023-01-12,0.1634579349631535,0.1818082833983052,0.00033673528769147476,0.01835034843515171,-0.8057349463156862
22day,^GSPC,HistoricalVolatility,2023-01-13,0.1633871924618364,0.1812394460623849,0.00031870295861829734,0.017852253600548512,-0.806437143416146
22day,^GSPC,HistoricalVolatility,2023-01-16,0.1633445143743752,0.1575791540793897,3.323937933099535e-05,0.005765360294985505,-0.8112403065910114
22day,^GSPC,HistoricalVolatility,2023-01-17,0.171289523127045,0.1518806823779625,0.0003767030992232454,0.0194088407490825,-0.7568699957887042
22day,^GSPC,HistoricalVolatility,2023-01-18,0.1613764751935428,0.1589634836122973,5.822528371161656e-06,0.0024129915812454994,-0.8239012320989128
22day,^GSPC,HistoricalVolatility,2023-01-19,0.1580850912365478,0.1618435051590982,1.4125675213220782e-05,0.003758413922550413,-0.8443479474843901
22day,^GSPC,HistoricalVolatility,2023-01-20,0.1636676686245836,0.1664300372490772,7.630680417586723e-06,0.0027623686244936108,-0.8097780314518712
22day,^GSPC,HistoricalVolatility,2023-01-23,0.1585423106622825,0.1605016207604595,3.8388960608184205e-06,0.001959310098177014,-0.841658654546666
22day,^GSPC,HistoricalVolatility,2023-01-24,0.159674692996603,0.1602906364830993,3.79386378557212e-07,0.0006159434864962954,-0.8346093002010339
22day,^GSPC,HistoricalVolatility,2023-01-25,0.1636155273310205,0.1603188998698708,1.0867752617606304e-05,0.003296627461149698,-0.8100273860534977
22day,^GSPC,HistoricalVolatility,2023-01-26,0.1590959210055993,0.1615735515488501,6.138653108849186e-06,0.002477630543250786,-0.8381291943409681
22day,^GSPC,HistoricalVolatility,2023-01-27,0.1587888671205872,0.1528945733021517,3.474269961804705e-05,0.005894293818435509,-0.8394552979577254
22day,^GSPC,HistoricalVolatility,2023-01-30,0.153711590666856,0.1541025302922362,1.5283379069241024e-07,0.0003909396253801989,-0.8726739969731955
22day,^GSPC,HistoricalVolatility,2023-01-31,0.1470468783855972,0.158896800513642,0.00014042065444072537,0.011849922128044782,-0.9140765569322318
22day,^GSPC,HistoricalVolatility,2023-02-01,0.1534023738741727,0.1606454101718275,5.246157480914533e-05,0.007243036297654826,-0.8736428680760724
22day,^GSPC,HistoricalVolatility,2023-02-02,0.1435404036185195,0.1629531732520683,0.00037685562484523414,0.019412769633548793,-0.9334233703526321
22day,^GSPC,HistoricalVolatility,2023-02-03,0.1482474338245897,0.169528669561483,0.00045289099448922357,0.021281235736893278,-0.9002650050150273
22day,^GSPC,HistoricalVolatility,2023-02-06,0.1477163877692282,0.1646256272571626,0.00028592238006031935,0.01690923948793438,-0.9067945968492681
