Horizon,Index,Model,Date,Actual,Predicted,SquaredError,AbsoluteError,QLIKE_Loss
1day,^GSPC,HistoricalVolatility,2022-12-21,0.1998823021235845,0.2014478887883358,2.4510616048471534e-06,0.0015655866647513172,-0.6099962182264901
1day,^GSPC,HistoricalVolatility,2022-12-22,0.1998601119564757,0.1998823021235845,4.924035163154276e-10,2.2190167108776526e-05,-0.6101375912113991
1day,^GSPC,HistoricalVolatility,2022-12-23,0.1998601119564757,0.1998601119564757,0.0,0.0,-0.6101375973741499
1day,^GSPC,HistoricalVolatility,2022-12-26,0.1998549958182024,0.1998601119564757,2.6174870831616413e-11,5.116138273308923e-06,-0.610163195970204
1day,^GSPC,HistoricalVolatility,2022-12-27,0.1974163155576934,0.1998549958182024,5.947161412996254e-06,0.002438680260509002,-0.6223654444854715
1day,^GSPC,HistoricalVolatility,2022-12-28,0.2081009837925816,0.1974163155576934,0.00011416213528962893,0.0106846682348882,-0.5683179844078667
1day,^GSPC,HistoricalVolatility,2022-12-29,0.1750470728290984,0.2081009837925816,0.001092561029981875,0.0330539109634832,-0.728567736892632
1day,^GSPC,HistoricalVolatility,2022-12-30,0.1751844198557572,0.1750470728290984,1.8864205732012065e-08,0.00013734702665879617,-0.7419157245376096
1day,^GSPC,HistoricalVolatility,2023-01-02,0.1751487050822558,0.1751844198557572,1.2755450462558802e-09,3.571477350139407e-05,-0.7421199017746882
1day,^GSPC,HistoricalVolatility,2023-01-03,0.169807665806716,0.1751487050822558,2.8526700542858767e-05,0.005341039275539805,-0.772614234652353
1day,^GSPC,HistoricalVolatility,2023-01-04,0.1675282939250294,0.169807665806716,5.195536175023453e-06,0.002279371881686587,-0.7865121166944951
1day,^GSPC,HistoricalVolatility,2023-01-05,0.1863733703947793,0.1675282939250294,0.0003551369071507211,0.018845076469749894,-0.6741141053149033
1day,^GSPC,HistoricalVolatility,2023-01-06,0.1842324663333575,0.1863733703947793,4.583470200212406e-06,0.002140904061421811,-0.6914904275247705
1day,^GSPC,HistoricalVolatility,2023-01-09,0.1845024714760362,0.1842324663333575,7.290277707295582e-08,0.0002700051426787198,-0.690091347161075
1day,^GSPC,HistoricalVolatility,2023-01-10,0.1832429657101578,0.1845024714760362,1.586354774280961e-06,0.0012595057658784103,-0.6969189181295716
1day,^GSPC,HistoricalVolatility,2023-01-11,0.1818082833983052,0.1832429657101578,2.058313335942698e-06,0.001434682311852592,-0.7047717243598293
1day,^GSPC,HistoricalVolatility,2023-01-12,0.1812394460623849,0.1818082833983052,3.2357591473691336e-07,0.000568837335920308,-0.7079313107119348
1day,^GSPC,HistoricalVolatility,2023-01-13,0.1575791540793897,0.1812394460623849,0.0005598094167205876,0.023660291982995213,-0.8384833591193628
1day,^GSPC,HistoricalVolatility,2023-01-16,0.1518806823779625,0.1575791540793897,3.247257973196634e-05,0.005698471701427177,-0.8839899800068054
1day,^GSPC,HistoricalVolatility,2023-01-17,0.1589634836122973,0.1518806823779625,5.0166073325094586e-05,0.007082801234334801,-0.83802606726377
1day,^GSPC,HistoricalVolatility,2023-01-18,0.1618435051590982,0.1589634836122973,8.294524110037407e-06,0.0028800215468008927,-0.82096326197557
1day,^GSPC,HistoricalVolatility,2023-01-19,0.1664300372490772,0.1618435051590982,2.103627661240714e-05,0.004586532089979001,-0.792786125437061
1day,^GSPC,HistoricalVolatility,2023-01-20,0.1605016207604595,0.1664300372490772,3.514612206251415e-05,0.005928416488617694,-0.8288013274653535
1day,^GSPC,HistoricalVolatility,2023-01-23,0.1602906364830993,0.1605016207604595,4.451436529321235e-08,0.00021098427736021552,-0.8307657687768326
1day,^GSPC,HistoricalVolatility,2023-01-24,0.1603188998698708,0.1602906364830993,7.988190317956447e-10,2.8263386771504306e-05,-0.8305903076547305
1day,^GSPC,HistoricalVolatility,2023-01-25,0.1615735515488501,0.1603188998698708,1.5741508355655389e-06,0.001254651678979285,-0.8227643483444556
1day,^GSPC,HistoricalVolatility,2023-01-26,0.1528945733021517,0.1615735515488501,7.532466340666382e-05,0.008678978246698388,-0.8765101523876363
1day,^GSPC,HistoricalVolatility,2023-01-27,0.1541025302922362,0.1528945733021517,1.4591600898939968e-06,0.0012079569900844966,-0.8701060707558537
1day,^GSPC,HistoricalVolatility,2023-01-30,0.158896800513642,0.1541025302922362,2.2985026955858414e-05,0.0047942702214058,-0.8390262052273176
