Date,000001.SS_return,000001.SS_rv,000001.SS_rv_lag1,000001.SS_rv_lag2,000001.SS_rv_lag3,^FTSE_return,^FTSE_rv,^FTSE_rv_lag1,^FTSE_rv_lag2,^FTSE_rv_lag3,^GDAXI_return,^GDAXI_rv,^GDAXI_rv_lag1,^GDAXI_rv_lag2,^GDAXI_rv_lag3,^GSPC_return,^GSPC_rv,^GSPC_rv_lag1,^GSPC_rv_lag2,^GSPC_rv_lag3,^HSI_return,^HSI_rv,^HSI_rv_lag1,^HSI_rv_lag2,^HSI_rv_lag3,^IXIC_return,^IXIC_rv,^IXIC_rv_lag1,^IXIC_rv_lag2,^IXIC_rv_lag3,^N225_return,^N225_rv,^N225_rv_lag1,^N225_rv_lag2,^N225_rv_lag3
2005-02-08,0.0,0.2619396920237312,0.2621680768599229,0.264849188155806,0.2558663516639442,0.0031478168243585,0.0746950994786671,0.0762645692023964,0.0734954168142653,0.0778311441717239,0.0011536254194498,0.1025245001424713,0.1030191425016803,0.1061784409984404,0.1000156479211001,0.0004825901045292,0.0961853741328832,0.0964345606926675,0.0967621650486456,0.0906380340145102,0.0036634432465304,0.1086203765568334,0.1142077849021637,0.101609433979345,0.1192071031681207,0.0022308600577954,0.1422380534066319,0.1420202715529116,0.1418453769546608,0.1349216629171107,-0.0008204041423947,0.0950051603196939,0.0966921364480278,0.0883841755357699,0.0909769417668837
2005-02-09,0.0,0.2612851226174228,0.2619396920237312,0.2621680768599229,0.264849188155806,-0.0010214598883567,0.0737829754203965,0.0746950994786671,0.0762645692023964,0.0734954168142653,-0.0041813690736965,0.1034161575289074,0.1025245001424713,0.1030191425016803,0.1061784409984404,-0.0086122584574736,0.1004971198178025,0.0961853741328832,0.0964345606926675,0.0967621650486456,0.0,0.1077043053840316,0.1086203765568334,0.1142077849021637,0.101609433979345,-0.0164913070672945,0.1518228142816222,0.1422380534066319,0.1420202715529116,0.1418453769546608,-0.0014875670989373,0.0951810107856031,0.0950051603196939,0.0966921364480278,0.0883841755357699
2005-02-10,0.0,0.2610053862079431,0.2612851226174228,0.2619396920237312,0.2621680768599229,0.0019218651315208,0.0707189656435529,0.0737829754203965,0.0746950994786671,0.0762645692023964,-0.0025623779756673,0.0950389294252215,0.1034161575289074,0.1025245001424713,0.1030191425016803,0.0042026177646532,0.0989336678018749,0.1004971198178025,0.0961853741328832,0.0964345606926675,0.0,0.1073571928241063,0.1077043053840316,0.1086203765568334,0.1142077849021637,0.0002679472491766,0.1495894878863912,0.1518228142816222,0.1422380534066319,0.1420202715529116,0.0069666566817591,0.0927973313092396,0.0951810107856031,0.0950051603196939,0.0966921364480278
2005-02-11,0.0,0.2609927799204336,0.2610053862079431,0.2612851226174228,0.2619396920237312,0.0088011946732813,0.0670713009271125,0.0707189656435529,0.0737829754203965,0.0746950994786671,0.0104905974490715,0.0894147897085817,0.0950389294252215,0.1034161575289074,0.1025245001424713,0.0069017502051706,0.1006364897251224,0.0989336678018749,0.1004971198178025,0.0961853741328832,0.0,0.1068715848420542,0.1073571928241063,0.1077043053840316,0.1086203765568334,0.0114098979083081,0.1534206227512553,0.1495894878863912,0.1518228142816222,0.1422380534066319,0.0,0.0888247771353448,0.0927973313092396,0.0951810107856031,0.0950051603196939
2005-02-14,0.0,0.2609774456691636,0.2609927799204336,0.2610053862079431,0.2612851226174228,-0.0004759846659368,0.0676475670284624,0.0670713009271125,0.0707189656435529,0.0737829754203965,-0.0003190951659115,0.0896572276455969,0.0894147897085817,0.0950389294252215,0.1034161575289074,0.0006966508245472,0.0950468495317938,0.1006364897251224,0.0989336678018749,0.1004971198178025,0.0123176697181498,0.1135838884065439,0.1068715848420542,0.1073571928241063,0.1077043053840316,0.0030051207060523,0.1494046503040975,0.1534206227512553,0.1495894878863912,0.1518228142816222,0.0067835539882464,0.0856623389835576,0.0888247771353448,0.0927973313092396,0.0951810107856031
2005-02-15,0.0,0.2590341540909991,0.2609774456691636,0.2609927799204336,0.2610053862079431,0.0033859266168159,0.0673966631368486,0.0676475670284624,0.0670713009271125,0.0707189656435529,0.003556926515206,0.089267537572722,0.0896572276455969,0.0894147897085817,0.0950389294252215,0.0032943342621278,0.0938126579738058,0.0950468495317938,0.1006364897251224,0.0989336678018749,-0.0015278869477576,0.1112009284809765,0.1135838884065439,0.1068715848420542,0.1073571928241063,0.0030200731562405,0.1470194922418642,0.1494046503040975,0.1534206227512553,0.1495894878863912,0.0012277358041813,0.0830364794523741,0.0856623389835576,0.0888247771353448,0.0927973313092396
2005-02-16,0.0077523355811081,0.2449634608208253,0.2590341540909991,0.2609774456691636,0.2609927799204336,-0.0011273044332655,0.0673139945985473,0.0673966631368486,0.0676475670284624,0.0670713009271125,-0.0075842399308081,0.0945483746526564,0.089267537572722,0.0896572276455969,0.0894147897085817,0.0001817594236472,0.0937920761625954,0.0938126579738058,0.0950468495317938,0.1006364897251224,0.0014037295821088,0.1077977636961354,0.1112009284809765,0.1135838884065439,0.1068715848420542,-0.000852373894053,0.1470497606348669,0.1470194922418642,0.1494046503040975,0.1534206227512553,-0.0038549789096677,0.0835480295811186,0.0830364794523741,0.0856623389835576,0.0888247771353448
2005-02-17,-0.0021494776122652,0.2447456743898465,0.2449634608208253,0.2590341540909991,0.2609774456691636,0.0008307533147828,0.0632725560061272,0.0673139945985473,0.0673966631368486,0.0676475670284624,0.0002083106804863,0.0946207502470474,0.0945483746526564,0.089267537572722,0.0896572276455969,-0.0079549220708654,0.0932141018376131,0.0937920761625954,0.0938126579738058,0.0950468495317938,-0.0034070284791515,0.1086445313980018,0.1077977636961354,0.1112009284809765,0.1135838884065439,-0.0125773120963464,0.1495789714602816,0.1470497606348669,0.1470194922418642,0.1494046503040975,-0.0016355795831123,0.0811700806091743,0.0835480295811186,0.0830364794523741,0.0856623389835576
2005-02-18,-0.013542093712826,0.2489362244993357,0.2447456743898465,0.2449634608208253,0.2590341540909991,-3.94888634939464e-05,0.0626792952790904,0.0632725560061272,0.0673139945985473,0.0673966631368486,-0.0023392804881459,0.0950485286128617,0.0946207502470474,0.0945483746526564,0.089267537572722,0.0006992897479059,0.0866144740901898,0.0932141018376131,0.0937920761625954,0.0938126579738058,0.008558016968999,0.1105934626527045,0.1086445313980018,0.1077977636961354,0.1112009284809765,-0.0013203870731294,0.1404413593282725,0.1495789714602816,0.1470497606348669,0.1470194922418642,0.0066601738217113,0.0832459593573327,0.0811700806091743,0.0835480295811186,0.0830364794523741
2005-02-21,0.0200608245916933,0.2521771977533492,0.2489362244993357,0.2447456743898465,0.2449634608208253,0.0007115258997557,0.0594636573661606,0.0626792952790904,0.0632725560061272,0.0673139945985473,-0.0014072089404349,0.0921599141981667,0.0950485286128617,0.0946207502470474,0.0945483746526564,0.0,0.0813326639541644,0.0866144740901898,0.0932141018376131,0.0937920761625954,0.0016865732924704,0.1031360196730144,0.1105934626527045,0.1086445313980018,0.1077977636961354,0.0,0.1325120845643436,0.1404413593282725,0.1495789714602816,0.1470497606348669,-0.0007807929202164,0.0727435784304658,0.0832459593573327,0.0811700806091743,0.0835480295811186
2005-02-22,0.0191211073231795,0.2470836863357811,0.2521771977533492,0.2489362244993357,0.2447456743898465,-0.005528195648268,0.065019050519936,0.0594636573661606,0.0626792952790904,0.0632725560061272,-0.006945157833646,0.095953327014515,0.0921599141981667,0.0950485286128617,0.0946207502470474,-0.0146119599796052,0.0940220950207444,0.0813326639541644,0.0866144740901898,0.0932141018376131,-0.0014985274812396,0.1012962664632574,0.1031360196730144,0.1105934626527045,0.1086445313980018,-0.0138425226848284,0.1396035510073983,0.1325120845643436,0.1404413593282725,0.1495789714602816,-0.0045860281322255,0.0731875215898133,0.0727435784304658,0.0832459593573327,0.0811700806091743
2005-02-23,0.0001512155796321,0.2418053630881622,0.2470836863357811,0.2521771977533492,0.2489362244993357,-0.0088610759563471,0.0749084497664866,0.065019050519936,0.0594636573661606,0.0626792952790904,-0.0029071119569032,0.0960038003616156,0.095953327014515,0.0921599141981667,0.0950485286128617,0.0055916998328576,0.0942452148946311,0.0940220950207444,0.0813326639541644,0.0866144740901898,-0.0094536448093049,0.1042142108277496,0.1012962664632574,0.1031360196730144,0.1105934626527045,0.0004579774518193,0.1323090596088372,0.1396035510073983,0.1325120845643436,0.1404413593282725,-0.0084450012152905,0.0794915392214067,0.0731875215898133,0.0727435784304658,0.0832459593573327
2005-02-24,0.0003619108915727,0.2416178690546012,0.2418053630881622,0.2470836863357811,0.2521771977533492,-0.0032929576536384,0.0747231064616124,0.0749084497664866,0.065019050519936,0.0594636573661606,-0.0014788520430267,0.0935834141286907,0.0960038003616156,0.095953327014515,0.0921599141981667,0.0078627777259957,0.0965780437173304,0.0942452148946311,0.0940220950207444,0.0813326639541644,0.0073500652577685,0.0961682970714829,0.1042142108277496,0.1012962664632574,0.1031360196730144,0.0100173268952501,0.1351696943378564,0.1323090596088372,0.1396035510073983,0.1325120845643436,0.0026894427449736,0.0794112761980027,0.0794915392214067,0.0731875215898133,0.0727435784304658
